Graduation,ps_enroll_male,APScoreQualified,satMath,satWrt,borough
0.938,0.667,0.054,431,448,Manhattan
0.985,0.726,0.362,497,469,Manhattan
0.924,0.872,0.247,496,502,Manhattan
0.985,0.845,0.816,624,617,Manhattan
0.95,0.944,0.006,643,643,Manhattan
0.967,0,0.177,452,444,Manhattan
0.909,0.371,0.245,451,468,Manhattan
0.876,0.517,0.267,429,452,Manhattan
0.976,0.781,0.012,586,607,Manhattan
0.921,0.417,0.245,462,476,Manhattan
0.943,0.758,0.171,444,459,Manhattan
0.815,0.366,0.117,427,434,Manhattan
0.978,0.633,0,428,456,Manhattan
0.802,0.455,0.213,426,420,Manhattan
0.752,0.782,0.257,462,463,Manhattan
0.842,0.425,0.298,450,442,Manhattan
0.818,0.524,0.144,412,438,Manhattan
0.883,0.613,0.35,436,449,Manhattan
0.803,0.45,0.053,399,423,Manhattan
0.743,0,0.114,408,431,Manhattan
0.965,0.676,0.279,440,490,Manhattan
1,0.935,0.586,594,610,Manhattan
0.932,0.627,0.17,441,449,Manhattan
0.866,0.623,0.117,415,418,Manhattan
0.8,0.529,0.089,443,446,Manhattan
0.933,0.693,0.361,484,476,Manhattan
0.971,0.703,0.021,489,542,Manhattan
0.99,0.32,0.385,525,546,Manhattan
1,0.887,0.955,690,658,Manhattan
0.992,0.872,0.787,593,573,Manhattan
0.972,0.701,0.648,646,596,Manhattan
0.97,0.87,0.337,519,545,Manhattan
0.971,0.814,0.738,561,553,Manhattan
0.994,0.79,0.63,651,610,Manhattan
0.849,0.357,0.247,406,425,Manhattan
0.962,0.718,0.59,511,496,Manhattan
0.971,0.778,0.049,493,500,Manhattan
0.831,0.404,0.259,469,475,Manhattan
0.88,0.65,0.25,440,439,Manhattan
0.661,0.567,0.298,401,409,Manhattan
0.84,0.476,0.213,437,437,Manhattan
0.872,0.548,0.271,424,427,Manhattan
0.862,0.617,0.043,418,401,Manhattan
1,0.941,0.639,556,515,Manhattan
0.67,0.547,0.068,411,421,Manhattan
0.685,0.359,0.205,414,410,Manhattan
0.993,0.945,0.929,774,728,Manhattan
0.914,0.619,0.34,497,474,Manhattan
0.949,0.429,0.263,446,465,Manhattan
1,0.886,0.293,476,467,Manhattan
0.981,0.825,0.481,476,494,Manhattan
0.982,0.742,0.386,494,503,Manhattan
0.81,0,0.095,401,449,Manhattan
0.831,0.636,0.292,441,446,Manhattan
0.965,0,0.509,457,491,Manhattan
0.867,0.667,0.422,461,455,Manhattan
0.915,0.529,0.159,459,476,Manhattan
0.951,0.8,0.604,450,423,Manhattan
0.87,0.327,0.15,413,431,Manhattan
0.99,0.911,0.813,643,519,Manhattan
