,x,y,borough,clusters
0,-314.6213435,-150.6431367,Manhattan,0
1,-81.23912182,9.173410226,Manhattan,0
2,-267.1503045,-45.57570026,Manhattan,0
3,-62.73288809,218.3576746,Manhattan,1
4,-99.80086491,237.2043279,Manhattan,1
5,-386.4469635,-169.3494707,Manhattan,2
6,-346.0377771,-135.4192762,Manhattan,0
7,-213.4309613,-106.7598389,Manhattan,0
8,-194.9854712,127.6434444,Manhattan,1
9,-176.1187849,-51.88741092,Manhattan,0
10,-146.0162716,-63.74782961,Manhattan,0
11,-198.6077267,-114.6394928,Manhattan,2
12,-247.943326,-118.2410024,Manhattan,0
13,-283.2536003,-160.6356868,Manhattan,2
14,-49.43232126,-6.24572683,Manhattan,0
15,-353.3142128,-158.0554282,Manhattan,0
16,-276.2605757,-154.898286,Manhattan,2
17,-267.1102407,-126.3659031,Manhattan,0
18,-255.8043828,-166.9142944,Manhattan,2
19,-440.1956596,-236.6534979,Manhattan,2
20,-152.8138155,-45.25854806,Manhattan,0
21,-212.5051995,128.8276322,Manhattan,1
22,-217.1380263,-102.3568619,Manhattan,0
23,-164.1746405,-119.5154016,Manhattan,0
24,-368.7729097,-167.4470227,Manhattan,2
25,473.2537888,268.2467964,Manhattan,0
26,-363.7338851,-57.19367325,Manhattan,0
27,-195.8220271,36.62022978,Manhattan,0
28,-197.4021032,245.3009242,Manhattan,1
29,-200.0663268,105.5483408,Manhattan,1
30,-228.5006438,154.1536191,Manhattan,1
31,-223.9196742,21.15461656,Manhattan,1
32,-233.3112914,53.73487,Manhattan,1
33,-38.10870238,246.3772214,Manhattan,1
34,-237.628314,-152.1184247,Manhattan,2
35,985.510163,573.0323727,Manhattan,1
36,-238.9260844,-37.88810193,Manhattan,0
37,-254.3796336,-79.48828787,Manhattan,0
38,-312.4354062,-149.8221669,Manhattan,0
39,-396.6510683,-236.0953561,Manhattan,2
40,-340.4896887,-165.7724175,Manhattan,0
41,-242.8082897,-140.1029759,Manhattan,0
42,-291.030894,-183.4465259,Manhattan,2
43,-207.3003348,35.53743541,Manhattan,1
44,-181.6815041,-127.4659683,Manhattan,2
45,-300.2417184,-183.5225193,Manhattan,2
46,2308.692923,1464.023118,Manhattan,1
47,69.30308053,78.99344382,Manhattan,0
48,-305.5912736,-123.8870995,Manhattan,0
49,-245.9787545,-76.04248598,Manhattan,0
50,-187.014722,-33.58866696,Manhattan,1
51,-131.1732844,8.154541619,Manhattan,0
52,-459.7977172,-237.5385817,Manhattan,2
53,-407.5165299,-186.2591335,Manhattan,0
54,-383.8325253,-129.4444997,Manhattan,0
55,-205.4810604,-78.96595976,Manhattan,0
56,-182.7854803,-56.79281525,Manhattan,0
57,-110.1976398,-68.97558692,Manhattan,0
58,-107.3530266,-87.2112649,Manhattan,2
59,-61.38673945,-238.1732876,Manhattan,1
60,-199.986068,-24.71732446,Manhattan,0
61,-138.5087406,-0.389965103,Manhattan,0
62,-329.1905693,-137.0680624,Manhattan,0
63,911.1850953,467.6984708,Manhattan,0
64,-353.4450488,-151.9073715,Manhattan,0
65,-172.9570932,-66.41729679,Manhattan,0
66,749.2896489,436.0688991,Manhattan,1
67,-263.8322007,-126.4329915,Manhattan,2
68,-742.2256612,204.2140602,Manhattan,2
69,-399.1480564,-201.9664561,Manhattan,2
70,-251.1893023,-102.3908851,Manhattan,0
71,-305.3092239,-158.1036343,Manhattan,0
72,-161.2750845,-80.34626324,Manhattan,0
73,-309.106822,-206.6225525,Manhattan,0
74,686.2857381,577.2272324,Manhattan,1
75,1791.452371,1070.775444,Manhattan,1
76,-222.7432365,-96.05020967,Manhattan,0
77,-163.8021461,-91.59628852,Manhattan,0
78,-13.12713073,-191.9574924,Manhattan,1
79,-493.2418219,-28.55108405,Manhattan,1
80,-338.9752587,-227.855981,Manhattan,0
81,-301.9223526,-178.6898499,Manhattan,0
82,811.5674961,591.8496205,Manhattan,1
83,-161.1201547,81.61288719,Manhattan,1
84,-309.2464036,-70.59882206,Manhattan,0
85,-284.0587859,-149.2339462,Manhattan,2
86,-393.1121146,-206.3198854,Manhattan,2
87,-390.2483335,-233.6884278,Manhattan,2
88,-368.2468489,-261.1995439,Manhattan,2
89,-305.7835403,134.1811567,Manhattan,1
90,-216.4074381,-157.0065397,Manhattan,2
91,126.0943144,89.31329015,Manhattan,0
92,-10.58194874,-694.9048339,Manhattan,2
93,114.5743896,-273.4336662,Manhattan,1
94,-193.0730313,-105.6853644,Manhattan,0
95,-287.1148967,-60.96386239,Manhattan,0
96,-218.6578494,-132.6059392,Manhattan,0
97,-201.87267,-60.10090665,Manhattan,0
98,-236.5371096,-182.1329013,Manhattan,0
99,-257.894618,-215.7483003,Manhattan,2
100,-164.2814557,-113.9544975,Manhattan,2
101,-200.920376,-169.3745408,Manhattan,2
102,764.8876215,398.6656622,Manhattan,0
103,-77.02918238,-85.83775627,Manhattan,0
104,-235.0528587,-141.0530923,Bronx,0
105,-249.7620168,-52.01758367,Bronx,0
106,-103.746879,-110.7396539,Bronx,0
107,-190.9535051,-185.0572034,Bronx,2
108,-242.9024914,-213.6015354,Bronx,2
109,-340.4848153,-202.7858389,Bronx,2
110,-56.12655963,17.1633013,Bronx,0
111,-263.8913146,-76.7802529,Bronx,0
112,-302.9867078,-175.6469022,Bronx,2
113,-111.8402318,-107.4381133,Bronx,2
114,-98.12453771,-67.4740125,Bronx,2
115,-250.6603637,-138.8968784,Bronx,2
116,-164.199674,-126.828629,Bronx,0
117,-332.9190825,-811.2318526,Bronx,2
118,-220.5150933,-142.8481211,Bronx,2
119,-266.2202564,-140.3260022,Bronx,0
120,-387.6028871,-229.7107092,Bronx,2
121,-173.8031477,-95.34479446,Bronx,0
122,-221.4677894,-128.8162342,Bronx,0
123,-190.0247045,-130.2232254,Bronx,2
124,-236.504339,-140.4600742,Bronx,0
125,-147.6169673,-114.188803,Bronx,2
126,-287.7490631,-140.7418766,Bronx,2
127,-366.6867619,-205.3143055,Bronx,2
128,327.761352,135.2089351,Bronx,0
129,-245.0582081,-203.2282051,Bronx,0
130,-211.1541529,-156.7025678,Bronx,2
131,-253.1586838,-155.9190721,Bronx,2
132,-159.8763021,-105.8686111,Bronx,0
133,-424.6255995,-205.810403,Bronx,2
134,-247.1716828,-119.0671185,Bronx,0
135,-221.2380394,-144.0463953,Bronx,0
136,-298.5017677,-173.5458901,Bronx,0
137,-256.6828295,-125.6704073,Bronx,0
138,-219.7258482,-115.6440755,Bronx,0
139,-258.1401037,-157.2540433,Bronx,2
140,-214.7514786,-16.83172831,Bronx,0
141,-260.7477891,-173.4461268,Bronx,2
142,-146.8446856,-94.91070548,Bronx,0
143,-301.4444135,-102.6733948,Bronx,0
144,-209.0238411,-78.13262466,Bronx,0
145,-263.6149513,-189.7744591,Bronx,2
146,-227.195016,-173.6682572,Bronx,0
147,-252.1323531,-197.8758431,Bronx,2
148,-386.6850574,-246.3511918,Bronx,2
149,-266.9429628,-173.7410908,Bronx,2
150,-317.1230042,-75.40574489,Bronx,0
151,-139.9802328,-87.72336892,Bronx,0
152,-290.1426249,-201.1388676,Bronx,2
153,-200.1508058,-177.5168139,Bronx,2
154,-348.3419819,-282.4233608,Bronx,2
155,-258.3186504,-200.8732127,Bronx,2
156,-337.7395341,-86.79867566,Bronx,0
157,84.78150196,114.9111699,Bronx,0
158,-242.3368775,-129.4416213,Bronx,2
159,-256.3667006,-137.8409956,Bronx,0
160,-225.8791839,-134.1327983,Bronx,2
161,-263.1238374,-122.5661248,Bronx,0
162,-194.3984528,-88.84762489,Bronx,0
163,-217.4449058,-225.821205,Bronx,2
164,-251.5176933,-154.40855,Bronx,0
165,-208.409974,-169.5239203,Bronx,2
166,-67.60032285,-69.48070798,Bronx,2
167,-32.08370722,-30.05385763,Bronx,0
168,-42.52176457,-19.7656897,Bronx,0
169,-215.1506857,-116.5941994,Bronx,0
170,-194.0770241,-151.8253061,Bronx,2
171,-215.1270353,-125.4703937,Bronx,2
172,-237.74495,-60.98681816,Bronx,0
173,-185.9121538,-157.4290884,Bronx,0
174,-212.3418372,-103.7654872,Bronx,0
175,290.6859537,136.956641,Bronx,0
176,-168.463825,-84.09734428,Bronx,0
177,1931.357988,1298.047096,Bronx,1
178,-193.2887281,-51.98755803,Bronx,0
179,-139.7488112,-80.09223521,Bronx,0
180,-268.8234878,-257.2904708,Bronx,2
