,principal component 1,principal component 2,borough,clusters
0,0.277820894,-0.46023317,Manhattan,0
1,-1.279663679,-0.450960549,Manhattan,0
2,-1.718878547,-0.938260623,Manhattan,0
3,-4.140549387,-0.577566356,Manhattan,1
4,-2.915282278,-0.395809785,Manhattan,1
5,1.046242237,-0.474130231,Manhattan,2
6,0.110625914,-0.531046818,Manhattan,0
7,0.476702924,0.010258296,Manhattan,0
8,-2.156568842,-0.599808476,Manhattan,1
9,0.045760324,-0.161150373,Manhattan,0
10,-0.314590495,-0.297880761,Manhattan,0
11,1.09407475,0.043915411,Manhattan,2
12,0.104278144,-0.611575525,Manhattan,0
13,1.380523548,0.351620447,Manhattan,2
14,0.224032727,0.615922756,Manhattan,0
15,0.354535907,-0.323736358,Manhattan,0
16,0.859779929,-0.098147649,Manhattan,2
17,-0.327425376,-0.514134333,Manhattan,0
18,1.155096263,-0.197387496,Manhattan,2
19,2.64878156,0.445765015,Manhattan,2
20,-1.03316697,-0.745379847,Manhattan,0
21,-3.590147985,-0.763956644,Manhattan,1
22,-0.173446387,-0.527164878,Manhattan,0
23,0.734272295,-0.042684569,Manhattan,0
24,1.161523918,0.171264969,Manhattan,2
25,-1.35262877,0.275028604,Manhattan,0
26,-1.147187868,-0.953770497,Manhattan,0
27,-1.562906614,-0.79392515,Manhattan,0
28,-5.078909337,-0.748873727,Manhattan,1
29,-3.774211217,-0.896335369,Manhattan,1
30,-3.554553759,-0.747324447,Manhattan,1
31,-2.161811091,-0.76121791,Manhattan,1
32,-3.184810388,-0.865990018,Manhattan,1
33,-3.955229732,-0.611515716,Manhattan,1
34,1.419736128,0.29476626,Manhattan,2
35,-1.930769004,1.234276221,Manhattan,1
36,-1.065419114,-0.764424278,Manhattan,0
37,0.119114934,-0.179303837,Manhattan,0
38,-0.273228055,-0.672639919,Manhattan,0
39,1.146243614,0.033781814,Manhattan,2
40,0.615973921,-0.235924155,Manhattan,0
41,0.344413937,-0.272664414,Manhattan,0
42,1.024797772,-0.17426225,Manhattan,2
43,-3.166109333,-1.030485719,Manhattan,1
44,0.940256101,-0.072859508,Manhattan,2
45,1.702159707,0.346683899,Manhattan,2
46,-6.745705871,2.572675387,Manhattan,1
47,-0.884171869,-0.011448195,Manhattan,0
48,-0.10027973,-0.597375917,Manhattan,0
49,-1.447549336,-0.879796524,Manhattan,0
50,-1.995441924,-0.924264043,Manhattan,1
51,-1.137636048,-0.173202215,Manhattan,0
52,1.536013695,-0.545511919,Manhattan,2
53,0.372245772,-0.153835245,Manhattan,0
54,-0.241823292,-0.822900068,Manhattan,0
55,-0.569398493,-0.279434872,Manhattan,0
56,0.631252978,0.350787285,Manhattan,0
57,-0.900110073,-0.214271826,Manhattan,0
58,0.940378602,-0.050170354,Manhattan,2
59,-3.847787481,-1.007353063,Manhattan,1
60,-1.115003614,-0.289250041,Manhattan,0
61,-0.383941313,0.022968924,Manhattan,0
62,0.007538183,-0.201654966,Manhattan,0
63,-0.511059006,1.261652218,Manhattan,0
64,-0.696075722,-0.975896094,Manhattan,0
65,0.173090776,0.110510218,Manhattan,0
66,-1.908560608,0.561128309,Manhattan,1
67,1.487174268,0.359265502,Manhattan,2
68,8.492620666,1.273520695,Manhattan,2
69,1.234858042,0.01460611,Manhattan,2
70,0.064149917,-0.21101622,Manhattan,0
71,0.803413285,-0.223315719,Manhattan,0
72,0.602164187,0.021034241,Manhattan,0
73,-0.418653845,-1.256905256,Manhattan,0
74,-2.931115747,0.543249644,Manhattan,1
75,-4.216350228,1.98416396,Manhattan,1
76,0.669728165,0.203332919,Manhattan,0
77,0.563532561,-0.061105945,Manhattan,0
78,-4.33965169,-0.966693523,Manhattan,1
79,-3.527959651,-1.346719478,Manhattan,1
80,0.71310967,-0.715629301,Manhattan,0
81,0.780684924,-0.257056537,Manhattan,0
82,-3.330167762,0.61682495,Manhattan,1
83,-3.277944936,-0.851487394,Manhattan,1
84,-0.490062839,-0.605968934,Manhattan,0
85,0.837944369,-0.134992139,Manhattan,2
86,1.84778256,0.427628043,Manhattan,2
87,1.526687601,-0.393648042,Manhattan,2
88,2.611515757,0.163692944,Manhattan,2
89,-3.847511452,-0.79240907,Manhattan,1
90,2.043553123,0.075454875,Manhattan,2
91,-0.077799187,0.498065482,Manhattan,0
92,5.297715377,-0.453165351,Manhattan,2
93,-5.325579195,-0.654740138,Manhattan,1
94,0.604849019,-0.351030915,Manhattan,0
95,-1.336587825,-0.879739298,Manhattan,0
96,-0.655078622,-0.815005706,Manhattan,0
97,-1.337248674,-0.439820921,Manhattan,0
98,0.820628946,-0.431948265,Manhattan,0
99,1.310185373,-0.592311692,Manhattan,2
100,2.301765157,0.84321716,Manhattan,2
101,1.611747774,-0.114702887,Manhattan,2
102,0.214587518,1.498061444,Manhattan,0
103,-0.542466885,-0.644593362,Manhattan,0
104,0.115844707,-0.925817,Bronx,0
105,-1.465102288,-0.656662328,Bronx,0
106,0.795058388,-0.25537359,Bronx,0
107,2.575550488,0.609465105,Bronx,2
108,3.227154546,1.064424173,Bronx,2
109,1.998699707,0.369849333,Bronx,2
110,-1.354251754,-0.778988727,Bronx,0
111,-0.116623524,-0.219913008,Bronx,0
112,1.431130327,0.023428852,Bronx,2
113,1.077759058,0.288504088,Bronx,2
114,1.376513062,0.334291972,Bronx,2
115,1.213535174,0.46433173,Bronx,2
116,0.549907736,-0.37493591,Bronx,0
117,8.77795812,1.173057648,Bronx,2
118,1.234221441,0.099344376,Bronx,2
119,0.818557137,-0.213796097,Bronx,0
120,2.430215395,0.172494664,Bronx,2
121,0.755909943,-0.059280083,Bronx,0
122,0.727763932,-0.137290546,Bronx,0
123,1.167208255,-0.039909071,Bronx,2
124,0.796592041,-0.180101773,Bronx,0
125,0.825927272,-0.170425672,Bronx,2
126,1.777943691,0.420206622,Bronx,2
127,1.06900901,-0.372584224,Bronx,2
128,0.219506476,0.476838492,Bronx,0
129,0.576900141,-0.548079094,Bronx,0
130,1.961625196,0.260756123,Bronx,2
131,0.94952944,-0.352926302,Bronx,2
