dbn,address,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,asian,black,hispanic,native,pacific,white,attendance,val_chronic_absent_hs_allgf,val_chronic_absent_hs_allgm,Graduation,val_pct_cer_6mo_allgf,val_pct_cer_6mo_allgm,val_pct_cer_6mo_coll_2yr_all,val_pct_cer_6mo_coll_4yr_all,val_pct_cer_6mo_coll_oost_all,val_pct_cer_6mo_coll_priv_all,val_pct_cer_6mo_coll_publ_all,val_pct_cer_6mo_other_all,CollegeSat,APScoreQualified,val_pct_cpci_other_college_all,satMath,satWrt
01M292," 220 Henry St, New York, NY 10002",Orchard Collegiate Academy,High School,296,0.76,0.84,0.83,0.89,0.91,0.91,0.483,0.517,0.091,0.253,0.588,0.02,0.01,0.014,0.807,0.524,0.351,0.938,0.688,0.667,0.097,0.194,0.032,0.129,0.226,0,0.092,0.054,0.031,431,448
01M448," 200 Monroe St, New York, NY 10002",University Neighborhood High School,High School,570,0.82,0.95,0.92,0.97,0.86,0.95,0.533,0.467,0.318,0.181,0.44,0.009,0.002,0.046,0.86,0.636,0.599,0.985,0.873,0.726,0.203,0.305,0.055,0.094,0.133,0,0.388,0.362,0.619,497,469
01M450,"420 E 12th St, New York, NY 10009",East Side Community School,High School,377,0.85,0.91,0.91,0.95,0.96,0.97,0.507,0.493,0.077,0.154,0.568,0.008,0.016,0.17,0.975,0.948,0.957,0.924,0.83,0.872,0.191,0.213,0.064,0.149,0.213,0,0.354,0.247,0.215,496,502
01M539,"111 Columbia St, New York, NY 10002","New Explorations into Science, Technology and Math",High School,664,0.78,0.86,0.8,0.88,0.94,0.92,0.514,0.486,0.271,0.093,0.181,0.006,0.002,0.413,0.947,0.903,0.849,0.985,0.932,0.845,0.038,0.184,0.348,0.234,0.082,0,0.774,0.816,0.165,624,617
01M696,"525 E Houston St, New York, NY 10002",Bard High School Early College,High School,636,0.85,0.8,0.83,0.84,0.89,0.9,0.56,0.44,0.236,0.132,0.195,0.003,0.003,0.393,0.942,0.826,0.771,0.95,0.954,0.944,0,0.252,0.244,0.211,0.106,0.138,0.882,0.006,0.994,643,643
02M047,"223 E 23rd St, New York, NY 10010",47 The American Sign Language and English Secondar,High School,222,0.69,0.78,0.82,0.78,0.89,0.87,0.685,0.315,0.014,0.23,0.716,0.009,0.005,0.023,0.812,0.523,0.239,0.967,0.763,No Data,0.306,0.061,0.082,0,0.265,0,0.129,0.177,0.194,452,444
02M135,"411 Pearl St, New York, NY 10038",The Urban Assembly School for Emergency Management,High School,272,0.75,0.87,0.83,0.85,0.92,0.9,0.563,0.438,0.048,0.294,0.599,0.011,0.007,0.026,0.862,0.69,0.58,0.909,0.793,0.371,0.234,0.109,0,0.156,0.063,0,0.127,0.245,0.327,451,468
02M139,"439 W 49th St, New York, NY 10019",Stephen T. Mather Building Arts & Craftsmanship Hi,High School,406,0.74,0.84,0.86,0.84,0.93,0.93,0.379,0.621,0.032,0.249,0.623,0.022,0.01,0.042,0.764,0.464,0.301,0.876,0.649,0.517,0.32,0.155,0,0.01,0.072,0,0.105,0.267,0.01,429,452
02M260,"10 E 15th St, New York, NY 10003",The Clinton School,High School,505,0.82,0.9,0.83,0.88,0.91,0.93,0.661,0.339,0.101,0.046,0.131,0.006,0,0.638,0.93,0.823,0.751,0.976,0.833,0.781,0.051,0.153,0.316,0.184,0.112,0,0.669,0.012,0,586,607
02M280,"411 Pearl St, New York, NY 10038",Manhattan Early College School for Advertising,High School,460,0.87,1,0.98,0.98,0.88,0.97,0.504,0.496,0.1,0.326,0.487,0.011,0.007,0.043,0.812,0.481,0.52,0.921,0.66,0.417,0.09,0.292,0.034,0.045,0.101,0,0.18,0.245,0.81,462,476
02M282,"411 Pearl St, New York, NY 10038",Urban Assembly Maker Academy,High School,484,0.84,0.89,0.89,0.93,0.91,0.93,0.306,0.694,0.083,0.302,0.473,0.006,0.004,0.103,0.813,0.493,0.428,0.943,0.852,0.758,0.161,0.097,0.065,0.183,0.237,0,0.181,0.171,0.095,444,459
02M288,"525 W 50th St, New York, NY 10019",Food and Finance High School,High School,417,0.69,0.74,0.76,0.82,0.91,0.87,0.564,0.436,0.05,0.324,0.564,0.005,0.002,0.036,0.818,0.655,0.492,0.815,0.787,0.366,0.193,0.102,0.068,0.148,0.08,0,0.111,0.117,0.037,427,434
02M294,"350 Grand St, New York, NY 10002",Essex Street Academy,High School,370,0.85,0.95,0.89,0.92,0.94,0.96,0.576,0.424,0.078,0.27,0.432,0.008,0.003,0.159,0.846,0.551,0.563,0.978,0.649,0.633,0.239,0.119,0.134,0.075,0.075,0,0.063,0,0.032,428,456
02M296," 525 W 50th St, New York, NY 10019",High School of Hospitality Management,High School,322,No Data,No Data,No Data,0.97,0.82,0.92,0.674,0.326,0.053,0.224,0.693,0.012,0.006,0.009,0.702,0.293,0.206,0.802,0.66,0.455,0.372,0.116,0.012,0.023,0.058,0,0.034,0.213,0.023,426,420
02M298,"100 Hester St, New York, NY 10002",Pace High School,High School,595,0.75,0.77,0.82,0.8,0.88,0.88,0.555,0.445,0.074,0.321,0.516,0.015,0.01,0.054,0.744,0.424,0.383,0.752,0.727,0.782,0.136,0.189,0.129,0.152,0.129,0,0.2,0.257,0.2,462,463
