Location,Household Type,TimeFrame,DataFormat,Amount,Fips
Zip Code 10001,Families,2019,Dollars,122776,10001
Zip Code 10002,Families,2019,Dollars,40045,10002
Zip Code 10003,Families,2019,Dollars,183787,10003
Zip Code 10004,Families,2019,Dollars,205202,10004
Zip Code 10005,Families,2019,Dollars,241094,10005
Zip Code 10006,Families,2019,Dollars,245764,10006
Zip Code 10007,Families,2019,Dollars,250001,10007
Zip Code 10009,Families,2019,Dollars,71135,10009
Zip Code 10010,Families,2019,Dollars,229709,10010
Zip Code 10011,Families,2019,Dollars,249545,10011
Zip Code 10012,Families,2019,Dollars,151028,10012
Zip Code 10013,Families,2019,Dollars,163951,10013
Zip Code 10014,Families,2019,Dollars,224625,10014
Zip Code 10016,Families,2019,Dollars,206816,10016
Zip Code 10017,Families,2019,Dollars,218875,10017
Zip Code 10018,Families,2019,Dollars,185688,10018
Zip Code 10019,Families,2019,Dollars,176972,10019
Zip Code 10021,Families,2019,Dollars,240453,10021
Zip Code 10022,Families,2019,Dollars,250001,10022
Zip Code 10023,Families,2019,Dollars,228389,10023
Zip Code 10024,Families,2019,Dollars,246034,10024
Zip Code 10025,Families,2019,Dollars,133439,10025
Zip Code 10026,Families,2019,Dollars,66157,10026
Zip Code 10027,Families,2019,Dollars,58680,10027
Zip Code 10028,Families,2019,Dollars,237537,10028
Zip Code 10029,Families,2019,Dollars,39845,10029
Zip Code 10030,Families,2019,Dollars,53586,10030
Zip Code 10031,Families,2019,Dollars,54699,10031
Zip Code 10032,Families,2019,Dollars,58919,10032
Zip Code 10033,Families,2019,Dollars,66075,10033
Zip Code 10034,Families,2019,Dollars,56284,10034
Zip Code 10035,Families,2019,Dollars,36645,10035
Zip Code 10036,Families,2019,Dollars,112342,10036
Zip Code 10037,Families,2019,Dollars,51536,10037
Zip Code 10038,Families,2019,Dollars,93156,10038
Zip Code 10039,Families,2019,Dollars,44253,10039
Zip Code 10040,Families,2019,Dollars,56530,10040
Zip Code 10044,Families,2019,Dollars,121453,10044
Zip Code 10065,Families,2019,Dollars,246005,10065
Zip Code 10069,Families,2019,Dollars,200150,10069
Zip Code 10075,Families,2019,Dollars,177237,10075
Zip Code 10128,Families,2019,Dollars,192940,10128
Zip Code 10280,Families,2019,Dollars,247627,10280
Zip Code 10282,Families,2019,Dollars,250001,10282
Zip Code 10301,Families,2019,Dollars,82267,10301
Zip Code 10302,Families,2019,Dollars,93750,10302
Zip Code 10303,Families,2019,Dollars,74187,10303
Zip Code 10304,Families,2019,Dollars,73135,10304
Zip Code 10305,Families,2019,Dollars,95406,10305
Zip Code 10306,Families,2019,Dollars,96131,10306
Zip Code 10307,Families,2019,Dollars,113839,10307
Zip Code 10308,Families,2019,Dollars,113498,10308
Zip Code 10309,Families,2019,Dollars,126350,10309
Zip Code 10310,Families,2019,Dollars,90379,10310
Zip Code 10312,Families,2019,Dollars,113327,10312
Zip Code 10314,Families,2019,Dollars,107154,10314
Zip Code 10451,Families,2019,Dollars,37332,10451
Zip Code 10452,Families,2019,Dollars,35155,10452
Zip Code 10453,Families,2019,Dollars,33760,10453
Zip Code 10454,Families,2019,Dollars,30076,10454
Zip Code 10455,Families,2019,Dollars,33920,10455
Zip Code 10456,Families,2019,Dollars,35269,10456
Zip Code 10457,Families,2019,Dollars,38096,10457
Zip Code 10458,Families,2019,Dollars,38624,10458
Zip Code 10459,Families,2019,Dollars,35536,10459
Zip Code 10460,Families,2019,Dollars,33282,10460
Zip Code 10461,Families,2019,Dollars,68066,10461
Zip Code 10462,Families,2019,Dollars,59538,10462
Zip Code 10463,Families,2019,Dollars,66470,10463
Zip Code 10464,Families,2019,Dollars,132596,10464
Zip Code 10465,Families,2019,Dollars,95996,10465
Zip Code 10466,Families,2019,Dollars,67912,10466
Zip Code 10467,Families,2019,Dollars,46530,10467
Zip Code 10468,Families,2019,Dollars,41488,10468
Zip Code 10469,Families,2019,Dollars,73973,10469
Zip Code 10470,Families,2019,Dollars,71506,10470
Zip Code 10471,Families,2019,Dollars,114241,10471
Zip Code 10472,Families,2019,Dollars,38655,10472
Zip Code 10473,Families,2019,Dollars,51096,10473
Zip Code 10474,Families,2019,Dollars,25429,10474
Zip Code 10475,Families,2019,Dollars,67383,10475
Zip Code 11001,Families,2019,Dollars,134087,11001
Zip Code 11004,Families,2019,Dollars,110406,11004
Zip Code 11005,Families,2019,Dollars,139313,11005
Zip Code 11040,Families,2019,Dollars,142316,11040
Zip Code 11096,Families,2019,Dollars,67726,11096
Zip Code 11101,Families,2019,Dollars,82636,11101
Zip Code 11102,Families,2019,Dollars,75440,11102
Zip Code 11103,Families,2019,Dollars,81250,11103
Zip Code 11104,Families,2019,Dollars,76895,11104
Zip Code 11105,Families,2019,Dollars,90013,11105
Zip Code 11106,Families,2019,Dollars,78526,11106
Zip Code 11109,Families,2019,Dollars,199823,11109
Zip Code 11201,Families,2019,Dollars,176004,11201
Zip Code 11203,Families,2019,Dollars,68184,11203
Zip Code 11204,Families,2019,Dollars,58848,11204
Zip Code 11205,Families,2019,Dollars,60319,11205
Zip Code 11206,Families,2019,Dollars,38430,11206
Zip Code 11207,Families,2019,Dollars,51643,11207
Zip Code 11208,Families,2019,Dollars,50726,11208
Zip Code 11209,Families,2019,Dollars,101737,11209
Zip Code 11210,Families,2019,Dollars,80453,11210
Zip Code 11211,Families,2019,Dollars,63639,11211
Zip Code 11212,Families,2019,Dollars,41115,11212
Zip Code 11213,Families,2019,Dollars,51262,11213
Zip Code 11214,Families,2019,Dollars,64478,11214
Zip Code 11215,Families,2019,Dollars,170511,11215
Zip Code 11216,Families,2019,Dollars,79242,11216
Zip Code 11217,Families,2019,Dollars,145365,11217
